1498703136,3.86,3.98
1498703139,3.86,3.98
1498703142,3.86,3.96
1498703145,3.86,3.96
1498703148,3.86,3.98
1498703151,3.86,3.96
1498703154,3.86,3.98
1498703157,3.86,3.96
1498703160,3.86,3.98
1498703163,3.86,3.96
1498703166,3.86,3.96
1498703169,3.86,3.98
1498703172,3.86,3.96
1498703176,3.86,3.96
1498703179,3.86,3.98
1498703182,3.86,3.98
1498703185,3.86,3.98
1498703188,3.86,3.98
1498703191,3.86,3.96
1498703195,3.86,3.98
1498703198,3.86,3.96
1498703201,3.86,3.96
1498703204,3.86,3.96
1498703207,3.86,3.96
1498703210,3.86,3.96
1498703213,3.86,3.98
1498703216,3.86,3.98
1498703219,3.86,3.98
1498703222,3.86,3.98
1498703225,3.86,3.98
1498703228,3.86,3.98
1498703231,3.86,3.98
1498703234,3.86,3.96
1498703237,3.86,3.96
1498703240,3.86,3.96
1498703243,3.86,3.96
1498703247,3.86,3.98
1498703250,3.86,3.96
1498703253,3.86,3.98
1498703256,3.86,3.98
1498703259,3.86,3.98
1498703262,3.86,3.98
1498703265,3.86,3.96
1498703268,3.86,3.98
1498703272,3.86,3.96
1498703275,3.86,3.98
1498703278,3.86,3.96
1498703282,3.86,3.96
1498703285,3.86,3.96
1498703288,3.86,3.96
1498703291,3.86,3.96
1498703295,3.86,3.96
1498703298,3.86,3.96
1498703301,3.86,3.96
1498703304,3.86,3.96
1498703307,3.86,3.96
1498703310,3.86,3.96
1498703313,3.86,3.96
1498703316,3.86,3.96
1498703319,3.86,3.96
1498703323,3.86,3.96
1498703326,3.86,3.98
1498703329,3.86,3.96
1498703332,3.86,3.98
1498703335,3.86,3.96
1498703338,3.86,3.96
1498703341,3.86,3.96
1498703344,3.86,3.96
1498703347,3.86,3.96
1498703350,3.86,3.96
1498703354,3.86,3.98
1498703357,3.86,3.96
1498703360,3.86,3.96
1498703363,3.86,3.96
1498703366,3.86,3.96
1498703382,3.86,3.94
1498703412,3.86,3.96
1498703443,3.86,3.94
1498703473,3.86,3.94
1498703503,3.86,3.94
1498703534,3.86,3.94
1498703564,3.86,3.94
1498703594,3.84,3.94
1498703625,3.84,3.94
1498703655,3.86,3.94
1498703685,3.84,3.94
1498703716,3.86,3.94
1498703746,3.84,3.94
1498703776,3.84,3.94
1498703807,3.84,3.94
1498703837,3.84,3.94
1498703867,3.84,3.94
1498703897,3.84,3.94
1498703928,3.84,3.94
1498703958,3.84,3.94
1498703988,3.84,3.94
1498704018,3.84,3.94
1498704049,3.84,3.94
1498704079,3.84,3.94
1498704109,3.84,3.94
